whale_ID,sample_cm ,d15N,d13C,C_N_ratio
C,8,11.3,-17.6,3.6
C,9,10.9,-17.7,3.6
C,10,11.1,-17.6,3.5
C,11,11.5,-17.5,3.5
C,12,12.1,-17.5,3.5
C,13,12.5,-17.6,3.5
C,14,12.5,-17.8,3.5
C,15,12.8,-17.9,3.5
C,16,13,-18,3.5
C,17,12.8,-17.8,3.5
C,18,12.8,-17.5,3.5
C,19,12.7,-17.3,3.5
C,20,12.9,-17.2,3.5
C,21,12.9,-17.1,3.5
C,22,12.8,-17.1,3.5
C,23,12.6,-17.1,3.5
C,24,12.4,-17.2,3.5
C,25,11.9,-17.3,3.5
C,26,11.5,-17.4,3.5
C,27,10.8,-17.6,3.5
C,28,10.6,-17.7,3.5
C,29,10.6,-17.7,3.5
C,30,10.7,-17.8,3.5
C,31,10.9,-17.7,3.5
C,32,11.3,-17.6,3.5
C,33,11.7,-17.5,3.5
C,34,11.9,-17.6,3.5
C,35,11.8,-17.5,3.5
C,36,12.1,-17.3,3.5
C,37,11.9,-17.1,3.5
C,38,12.3,-17,3.5
C,39,12.6,-16.8,3.5
C,40,12.8,-16.8,3.5
C,41,12.7,-17,3.5
C,42,12.5,-17.2,3.5
C,43,12.1,-17.1,3.5
C,44,11.5,-17.2,3.5
C,45,11.1,-17.2,3.5
C,46,10.9,-17.3,3.5
C,47,10.9,-17.1,3.5
C,48,11.4,-17.1,3.4
C,49,11.8,-17.1,3.5
C,50,12,-17,3.5
C,51,11.7,-16.9,3.5
C,52,11.7,-16.9,3.5
C,53,12,-16.9,3.5
C,54,12.5,-16.7,3.4
C,55,12.8,-16.9,3.5
C,56,12.9,-17.1,3.4
C,57,12.7,-17.1,3.5
C,58,12.4,-17.1,3.4
C,59,12.2,-17.1,3.5
C,60,12,-17.3,3.5
C,61,11.7,-17.5,3.5
C,62,11.3,-17.7,3.5
C,63,11.6,-17.4,3.5
C,64,11.9,-17.3,3.5
C,65,12.1,-17.2,3.4
C,66,12.2,-17.3,3.5
D,0,12.5,-17.6,3.5
D,1,12.2,-17.4,3.5
D,2,12.4,-17.4,3.4
D,3,12.2,-17.2,3.5
D,4,12.3,-17.2,3.5
D,5,12.1,-17.1,3.5
D,6,12.2,-16.9,3.5
D,7,12.2,-16.8,3.5
D,8,12.2,-16.8,3.5
D,9,12.2,-16.8,3.5
D,10,11.9,-16.9,3.5
D,11,11.8,-17,3.5
D,12,11.9,-17,3.5
D,13,12,-17.1,3.4
D,14,12.1,-17.2,3.5
D,15,12.1,-17.2,3.5
D,16,12.1,-17.3,3.5
D,17,12.2,-17.3,3.5
D,18,12.2,-17.2,3.5
D,19,12.4,-17.4,3.5
D,20,12.2,-17.5,3.5
D,21,11.8,-17.5,3.4
D,22,11.9,-17.4,3.4
D,23,12.2,-17.3,3.4
D,24,12.2,-17.3,3.4
D,25,12.3,-17.4,3.4
D,26,12.2,-17.3,3.5
D,27,12.1,-17.2,3.4
D,28,12.1,-17.3,3.4
D,29,11.9,-17.8,3.5
D,30,11.9,-17.9,3.4
D,31,11.7,-18.3,3.5
D,32,11.9,-18.2,3.4
D,33,12,-18,3.4
D,34,12,-17.9,3.4
D,35,11.9,-17.9,3.4
D,36,11.8,-17.9,3.4
D,37,12,-17.8,3.4
D,38,12.3,-17.6,3.4
D,39,12.7,-17.4,3.4
D,40,12.6,-17.3,3.4
D,41,12.6,-17.4,3.4
D,42,12.6,-17.4,3.4
D,43,12.5,-17.5,3.4
D,44,12.3,-17.6,3.4
D,45,12.3,-17.6,3.4
D,46,12.3,-17.6,3.4
D,47,12,-17.6,3.4
D,48,12.3,-17.6,3.4
D,49,12.5,-17.6,3.4
D,50,12.8,-17.5,3.4
D,51,13,-17.4,3.4
D,52,13.1,-17.4,3.4
D,53,13.1,-17.5,3.4
D,54,12.8,-17.4,3.4
E,0,13,-18.1,3.5
E,1,12.9,-18,3.5
E,2,12.9,-18.1,3.4
E,3,12.9,-18.1,3.4
E,4,13,-17.9,3.4
E,5,13,-17.6,3.4
E,6,12.6,-17.6,3.4
E,7,12.2,-17.7,3.5
E,8,12.2,-17.5,3.5
E,9,12.3,-17.4,3.5
E,10,12.4,-17.3,3.5
E,11,12.7,-17,3.5
E,12,12.8,-16.9,3.5
E,13,12.8,-16.8,3.5
E,14,12.7,-16.7,3.5
E,15,12.5,-16.6,3.5
E,16,12.2,-16.6,3.5
E,17,12.2,-16.6,3.5
E,18,12.1,-16.8,3.5
E,19,12.1,-17,3.5
E,20,12.3,-17.1,3.5
E,21,12.3,-17.1,3.5
E,22,12.3,-17.1,3.5
E,23,12.2,-17.3,3.5
E,24,12.4,-17.4,3.5
E,25,12.6,-17.4,3.5
E,26,12.6,-17.4,3.5
E,27,12.6,-17.3,3.5
E,28,12.3,-17.2,3.5
E,29,12.5,-17.2,3.5
E,30,12.4,-17.2,3.5
E,31,12.7,-16.9,3.5
E,32,12.6,-16.7,3.5
E,33,12.6,-16.5,3.5
E,34,12.5,-16.3,3.4
E,35,12.5,-16.7,3.5
E,36,12.4,-17.1,3.4
E,37,12.3,-17.1,3.4
E,38,12.3,-17,3.4
E,39,12.3,-17,3.4
E,40,12.2,-17.1,3.4
E,41,12.2,-17.3,3.4
E,42,12.2,-17.3,3.4
E,43,12.3,-17.2,3.4
E,44,12.4,-17.3,3.4
E,45,12.2,-17.3,3.4
E,46,12.1,-17.4,3.5
E,47,12.1,-17.3,3.4
E,48,12.2,-17.1,3.5
E,49,12.1,-16.8,3.5
E,50,12.1,-16.7,3.5
E,51,12.2,-16.5,3.5
E,52,11.9,-16.5,3.5
E,53,12.2,-16.6,3.5
E,54,12.1,-16.7,3.5
E,55,12,-16.8,3.5
E,56,12.1,-17,3.5
E,57,12.1,-17.1,3.5
E,58,11.9,-17.5,3.5
E,59,12.2,-17.5,3.5
E,60,12.6,-17.2,3.5
E,61,12.7,-16.9,3.5
E,62,12.7,-17.1,3.5
E,63,12.5,-17.3,3.5
E,64,12.4,-17.4,3.5
E,65,12.2,-17.5,3.5
E,66,12.1,-17.5,3.5
E,67,12,-17.6,3.5
E,68,12,-17.5,3.5
E,69,11.9,-17.5,3.5
E,70,12.2,-17.4,3.4
F,0,12.6,-17,3.5
F,1,12.4,-17.1,3.5
F,2,12.2,-17.7,3.4
F,3,12.1,-17.6,3.4
F,4,12.4,-16.9,3.5
F,5,12.1,-16.8,3.4
F,6,12.2,-16.3,3.5
F,7,12.2,-17,3.5
F,8,12.2,-16.9,3.5
F,9,12.3,-16.9,3.4
F,10,12.2,-16.8,3.4
F,11,11.9,-16.8,3.4
F,12,12,-16.9,3.4
F,13,11.9,-17.1,3.4
F,14,11.9,-17.2,3.4
F,15,12,-17.3,3.4
F,16,12.1,-17.4,3.4
F,17,12.1,-17.4,3.4
F,18,11.9,-17.5,3.5
F,19,12.1,-17.4,3.5
F,20,12.2,-17.4,3.5
F,21,12.4,-17.4,3.5
F,22,12.1,-17.5,3.5
F,23,12,-17.5,3.5
F,24,12.1,-17.4,3.5
F,25,12.3,-17.4,3.5
F,26,12.3,-17.3,3.5
F,27,12.4,-17.3,3.5
F,28,12.3,-17.3,3.5
F,29,12.2,-17.2,3.5
F,30,12.1,-17.3,3.5
F,31,11.9,-17.7,3.5
F,32,11.8,-18.1,3.5
F,33,11.8,-18.2,3.5
F,34,12,-18.1,3.5
F,35,12,-17.9,3.5
F,36,11.9,-17.9,3.5
F,37,11.9,-17.9,3.5
F,38,12,-17.9,3.5
F,39,12.2,-17.7,3.5
F,40,12.6,-17.6,3.5
F,41,12.7,-17.4,3.5
F,42,12.6,-17.3,3.5
F,43,12.7,-17.4,3.5
F,44,12.6,-17.4,3.5
F,45,12.4,-17.6,3.5
F,46,12.3,-17.6,3.5
F,47,12.3,-17.6,3.5
F,48,12,-17.6,3.5
F,49,12.3,-17.6,3.5
F,50,12.5,-17.6,3.4
F,51,12.9,-17.6,3.4
F,52,12.9,-17.5,3.5
F,53,12.9,-17.5,3.4
F,54,13,-17.5,3.4
F,55,13,-17.4,3.4
F,56,13,-17.4,3.4
F,57,13,-17.4,3.4
